recording_id,audio_video,subject,month,start,end,is_subregion,is_top_3_hours,is_top_4_hours,is_surplus,position,subregion_rank,duration,region_id
audio_02_11,audio,02,11,40517740,40800000,TRUE,TRUE,TRUE,FALSE,4,2,00:04:42,audio_02_11_40517740_40800000
audio_02_11,audio,02,11,41400000,42764110,TRUE,TRUE,TRUE,FALSE,5,3,00:22:44,audio_02_11_41400000_42764110
audio_02_11,audio,02,11,43007820,44447520,TRUE,TRUE,TRUE,FALSE,5,3,00:23:59,audio_02_11_43007820_44447520
audio_02_11,audio,02,11,44739030,45000000,TRUE,TRUE,TRUE,FALSE,5,3,00:04:20,audio_02_11_44739030_45000000
audio_02_12,audio,02,12,300000,3707000,TRUE,TRUE,TRUE,FALSE,1,3,00:56:47,audio_02_12_300000_3707000
audio_02_12,audio,02,12,11100000,14700000,TRUE,TRUE,TRUE,FALSE,2,2,01:00:00,audio_02_12_11100000_14700000
audio_02_12,audio,02,12,14700000,18300000,TRUE,TRUE,TRUE,FALSE,3,1,01:00:00,audio_02_12_14700000_18300000
audio_02_12,audio,02,12,26027130,26168590,FALSE,FALSE,TRUE,FALSE,NA,NA,00:02:21,audio_02_12_26027130_26168590
audio_02_12,audio,02,12,33831860,34929710,FALSE,FALSE,TRUE,FALSE,NA,NA,00:18:17,audio_02_12_33831860_34929710
audio_02_12,audio,02,12,35400000,38072870,TRUE,FALSE,TRUE,FALSE,5,4,00:44:32,audio_02_12_35400000_38072870
audio_02_12,audio,02,12,38295350,39000000,TRUE,FALSE,TRUE,FALSE,5,4,00:11:44,audio_02_12_38295350_39000000
audio_02_13,audio,02,13,900000,4500000,TRUE,FALSE,TRUE,FALSE,1,4,01:00:00,audio_02_13_900000_4500000
audio_02_13,audio,02,13,4800000,8400000,TRUE,TRUE,TRUE,FALSE,2,1,01:00:00,audio_02_13_4800000_8400000
audio_02_13,audio,02,13,10200000,10203000,TRUE,TRUE,TRUE,FALSE,3,2,00:00:03,audio_02_13_10200000_10203000
audio_02_13,audio,02,13,10729250,13800000,TRUE,TRUE,TRUE,FALSE,3,2,00:51:10,audio_02_13_10729250_13800000
audio_02_13,audio,02,13,33600000,37200000,TRUE,TRUE,TRUE,FALSE,4,3,01:00:00,audio_02_13_33600000_37200000
audio_02_13,audio,02,13,38100620,38638510,FALSE,FALSE,TRUE,FALSE,NA,NA,00:08:57,audio_02_13_38100620_38638510
audio_02_14,audio,02,14,1500000,5100000,TRUE,TRUE,NA,FALSE,1,1,01:00:00,audio_02_14_1500000_5100000
audio_02_14,audio,02,14,24600000,28200000,TRUE,TRUE,NA,FALSE,3,2,01:00:00,audio_02_14_24600000_28200000
audio_02_14,audio,02,14,33600000,37200000,TRUE,TRUE,NA,FALSE,5,3,01:00:00,audio_02_14_33600000_37200000
audio_02_15,audio,02,15,1200000,4800000,TRUE,TRUE,NA,FALSE,1,3,01:00:00,audio_02_15_1200000_4800000
audio_02_15,audio,02,15,12900000,16355430,TRUE,TRUE,NA,FALSE,2,2,00:57:35,audio_02_15_12900000_16355430
audio_02_15,audio,02,15,36000000,39600000,TRUE,TRUE,NA,FALSE,5,1,01:00:00,audio_02_15_36000000_39600000
audio_02_16,audio,02,16,28800000,32400000,TRUE,TRUE,NA,FALSE,3,1,01:00:00,audio_02_16_28800000_32400000
audio_02_16,audio,02,16,32700000,36300000,TRUE,TRUE,NA,FALSE,4,3,01:00:00,audio_02_16_32700000_36300000
audio_02_16,audio,02,16,38700000,42300000,TRUE,TRUE,NA,FALSE,5,2,01:00:00,audio_02_16_38700000_42300000
